,description,en,fr,pl,ru,es,it,ga,fil,de,tr,id,pt,jp,zh
MENU_GAME_SELECT,,Select Game,Selectionnez un jeu,Wybierz Grę,bыбepиte ИгpУ,Seleccionar juego,Seleziona il gioco,ＳＥＬＥＣＴ ＧＡＭＥ,Pumili ng game,Spiel wählen,Oyun Seç,Pilih Permainan,Selecione o Jogo,ゲームをえらぶ,选择游戏
CAMPAIGN_SMB1,,Super Mario Bros.,Super Mario Bros.,Super Mario Bros.,Super Mario Bros.,Super Mario Bros.,Super Mario Bros.,ＳＵＰＥＲ ＭＡＲＩＯ ＢＲＯＳ.,Super Mario Bros.,Super Mario Bros.,Super Marİo Bros.,Super Mario Bros,Super Mario Bros.,マリオ1,超级马力欧兄弟
CAMPAIGN_SMBLL,,Super Mario Bros. The Lost Levels,Super Mario Bros. Les niveaux perdus,Super Mario Bros. Zaginione Poziomy,Super Mario Bros. The Lost Levels,Super Mario Bros. Los Niveles Perdidos,Super Mario Bros. The Lost Levels,ＳＵＰＥＲ ＭＡＲＩＯ ＢＲＯＳ. ＴＨＥ ＬＯＳＴ ＬＥＶＥＬＳ,Super Mario Bros. The Lost Levels,Super Mario Bros.: The Lost Levels,Super Marİo Bros. The Lost Levels,Super Mario Bros. The Lost Levels,Super Mario Bros. The Lost Levels,マリオ2,超级马力欧兄弟 失落的关卡
CAMPAIGN_SMBS,,Super Mario Bros. Special,Super Mario Bros. Spécial,Super Mario Bros. Wersja Specialna,Super Mario Bros. Special,Super Mario Bros. Especial,Super Mario Bros. Special,ＳＵＰＥＲ ＭＡＲＩＯ ＢＲＯＳ. ＳＰＥＣＩＡＬ,Super Mario Bros. Special,Super Mario Bros. Special,Super Marİo Bros. Specİal,Super Mario Bros. Special,Super Mario Bros. Special,スペシャル,超级马力欧兄弟 特别版
CAMPAIGN_SMBANN,,All Night Nippon: Super Mario Bros.,All Night Nippon: Super Mario Bros.,All Night Nippon: Super Mario Bros.,All Night Nippon: Super Mario Bros.,All Night Nippon: Super Mario Bros.,All Night Nippon: Super Mario Bros.,ＡＬＬ ＮＩＧＨＴ ＮＩＰＰＯＮ: ＳＵＰＥＲ ＭＡＲＩＯ ＢＲＯＳ.,All Night Nippon: Super Mario Bros.,All Night Nippon: Super Mario Bros.,All Nİght Nİppon: Super Marİo Bros.,All Night Nippon: Super Mario Bros.,All Night Nippon: Super Mario Bros.,オールナイトニッポン,通宵日本 超级马力欧兄弟
CUSTOM_LEVELS,,Custom Levels,Niveaux Custom,Poziomy Użytkowników,Пoльзobateльckиe Уpobhи,Niveles Personalizados,Livelli Custom,ＣＵＳＴＯＭ ＬＥＶＥＬＳ,,Level-Editor,Özel Leveller,Level Kustom,Níveis Customizados,カスタムステージ,自定义关卡
MENU_STORY,,Story,Histoire,Kampania,kamпahия,Historia,Storia,ＳＴＯＲＹ,Kampanya,Kampagne,Hİkaye,Cerita,História,ストーリーモード,故事模式
MENU_CHALLENGES,,Challenges,Défis,Wyzwania,Иcпыtahия,Desafíos,Sfide,ＣＨＡＬＬＥＮＧＥＳ,Mga Hamon,Herausforderungen,Zorluklar,Tantangan,Desafios,チャレンジ,挑战模式
MENU_MARATHON,,Marathon,Marathon,Maraton,mapaфoh,Maratón,Maratona,ＭＡＲＡＴＨＯＮ,Maraton,Marathon,Maraton,Maraton,Maratona,マラソン,马拉松
MENU_NEW_GAME,,New Game,Nouvelle Partie,Nowa Gra,hobaя Игpa,Nuevo juego,Nuovo gioco,ＮＥＷ ＧＡＭＥ,Bagong Laro,Neues Spiel,Yenİ Oyun,Permainan Baru,Novo Jogo,あたらしくはじめる,新游戏
MENU_CONTINUE,,Continue,Continuer,Kontynuuj,Пpoдoлжиtь,Continuar,Continua,ＣＯＮＴＩＮＵＥ,Magpatuloy,Fortsetzen,Devam Et,Melanjutkan,Continue,つづきから,继续
MENU_HIGH_SCORE,,Top-,Top-,Rekord,pekopд-,Top-,Top-,ＴＯＰ-,Rekord-,Rekord - ,Rekor-,Top-,Topo-,TOP-,最高分
MENU_WORLD_SELECT,,Select World,Quel Monde,Wybierz Świat,bыбepиte mиp,Seleccionar Mundo,Seleziona mondo,ＳＥＬＥＣＴ ＷＯＲＬＤ,Pumili ng Mundo,Welt wählen,Dünya Seç,Pilih Dunia,Escolha o seu Mundo,ワールドをえらぶ,选择世界
MENU_LEVEL_SELECT,,Select Level,Quel Niveau,Wybierz Poziom,bыбepиte Уpobehь,Seleccionar Nivel,Seleziona livello,ＳＥＬＥＣＴ ＬＥＶＥＬ,Pumili ng Lebel,Level wählen,Level Seç,Pilih Level,Escolha o seu Nível,ステージをえらぶ,选择关卡
MENU_QUEST_SELECT,,Select Quest,Quel Quête,Wybierz Przygodę,bыбepиte kbect,Seleccionar búsqueda,Selezione missione,ＳＥＬＥＣＴ ＱＵＥＳＴ,Pumili ng Misyon,Abenteuer wählen,Görev Seç,Pilih Quest,Escolha a sua Missão,クエストをえらぶ,选择周目
MENU_CHARA_SELECT,,Select Character,Quel Personnage,Wybierz Postać,bыбepиte Пepcohaжa,Seleccionar Personaje,Selezione personaggio,ＳＥＬＥＣＴ ＣＨＡＲＡＣＴＥＲ,Pumili ng Karakter,Charakter wählen,Karakter Seç,Pilih Karakter,Escolha o seu Pesonagem,キャラクターをえらぶ,选择角色
QUEST_FIRST,,First Quest,Première Quête,Pierwsza Przygoda,Пepbый kbect,Primera Mision,Prima missione,ＦＩＲＳＴ ＱＵＥＳＴ,Unang Misyon,Erstes Abenteuer,Bİrİncİ Görev,Quest Pertama,Primeira Missão,クエスト1,一周目
QUEST_SECOND,,Second Quest,Deuxième Quête,Druga Przygoda,btopoй kbect,Segunda Mision,Seconda missione,ＳＥＣＯＮＤ ＱＵＥＳＴ,Ikalawang Misyon,Zweites Abenteuer,İkİncİ Görev,Quest Kedua,Segunda Missão,クエスト2,二周目
CHAR_MARIO,,Mario,Mario,Mario,mapиo,Mario,Mario,ＭＡＲＩＯ,Mario,Mario,Marİo,Mario,Mario,マリオ,马力欧
CHAR_LUIGI,,Luigi,Luigi,Luigi,ЛУиджи,Luigi,Luigi,ＬＵＩＧＩ,Luigi,Luigi,Luİgİ,Luigi,Luigi,ルイージ,路易吉
CHAR_TOAD,,Toad,Toad,Toad,toaд,Toad,Toad,ＴＯＡＤ,Kinopyo,Toad,Toad,Toad,Toad,キノピオ,奇诺比奥
CHAR_TOADETTE,,Toadette,Toadette,Toadette,toaдetta,Toadette,Toadette,ＴＯＡＤＥＴＴＥ,Kinopiko,Toadette,Toadette,Toadette,Toadette,キノピコ,奇诺比珂
PAUSE_RESUME,,Resume,Continuer,Kontynuuj,Пpoдoлжиtь,Reanudar,Continua,ＲＥＳＵＭＥ,Magpatuloy,Fortsetzen,Devam Et,Melanjutkan,Retome ao Jogo,つづける,继续
PAUSE_RESTART,,Restart Level,Recommencer,Zrestartuj Poziom,Пobtopиtь,Reiniciar nivel,Ricomincia,ＲＥＳＴＡＲＴ ＬＥＶＥＬ,Ulitin,Level neustarten,Yenİden Başla,Ulang Level,Recomeçar o Nível,リスタート,重新开始本关
PAUSE_QUIT,,Quit to Menu,Quitter,Wyjdź do Menu,bыйtи b mehю,Salir al menú,Torna al menù,ＱＵＩＴ ＴＯ ＭＥＮＵ,Bumalik sa Menu,Zurück zum Hauptmenü,Menüye Çık,Keluar ke Menu,Sair para o Menu,メインメニュー,返回菜单
PAUSE_RETRY,,Retry,Recommencer,Powtórz,Пobtopиtь,Reintentar,Riprova,ＲＥＴＲＹ,Ulit,Erneut versuchen,Yenİden Dene,Coba lagi ,Tente Novamente,リトライ,重试
PAUSE_SELECT_LEVEL,,Level Select,Sélection des niveaux,Wybierz Poziom,bыбop Уpobhя,Selección de nivel,Seleziona Livello,ＬＥＶＥＬ ＳＥＬＥＣＴ,Pumili ng Lebel,Level auswählen,Level Seç,Pemilihan Level,Seleção de Níveis,ステージをえらぶ,选择关卡
CHALLENGE_BOO,,You Vs. Boo,Vous Contre Boo,Ty Kontra Boo,tы Пpotиb БУ,Tú contra Boo,Tu Vs. Boo,ＹＯＵ ＶＳ. ＢＯＯ,Ikaw konta Boo,Du Vs. Boo,Sen Vs. Boo,Kau Vs. Boo,Voçê Vs. Boo,テレサレース,你 VS 害羞幽灵
MENU_SELECT_BOO,,Select Boo,Choisissez le Boo,Wybierz Boo,bыбepи БУ,Seleccionar Boo,Seleziona Boo,ＳＥＬＥＣＴ ＢＯＯ,Pumili ng Boo,Boo wählen,Boo Seç,Pilih Boo,Escolha o seu Boo,テレサをえらぶ,选择害羞幽灵
PAUSE_RACE_RESTART,,Restart Race,Recommencer la course,Zrestartuj Wyścig,Пobtopиtь ГohkУ,Reiniciar carrera,Ricomincia gara,ＲＥＳＴＡＲＴ ＲＡＣＥ,Ulitin,Rennen neustarten,Yarışı Yenİden Başlat,Balapan Ulang,Recomeçe a Corrida,レースをリスタート,重新比赛
CHALLENGE_HUNT,"The challenge mode featured in SMB DX, involves the player running around levels finding red coins and a hidden yoshi egg. (Like a scavenger hunt!)",Challenge Hunt,Défi de chasse,Tryb Poszukiwania,Иcпыtahиe oxotы,Caza de Monedas,Sfida di caccia,ＣＨＡＬＬＥＮＧＥ ＨＵＮＴ,Scavenger,Schatzsuche,Zorluk Avı,Tantangan Berburu,Caça ao Desafio,チャレンジゲーム,挑战狩猎
MARATHON_START,,Start Run,Commencez la run,Zacznij Próbę,haчatь Зaбeг,Iniciar Maraton,Inizia run,ＳＴＡＲＴ ＲＵＮ,Simulan,Starten,Başla,Mulai Lari,Começar Rodada,スタート,开始竞速
MARATHON_PRACTICE,,Practice,Entraînement,Ćwiczenia,Пpaktиka,Práctica,Pratica,ＰＲＡＣＴＩＣＥ,Praktis,Training,Pratİk Yap,Latihan,Modo Prática,れんしゅう,练习
MARATHON_PB_NONE,,No PB,Pas de Record,Bez Rekordu,het pekopдa,No PB,No PB,ＮＯ ＰＢ,No PB,Keine BZ,PB Yok,Tidak PB,Sem PB,PBなし,暂无最佳
MARATHON_PB_VALID,,PB: -,Record Perso.:,Rekord:,pekopд:,PB: -,PB: -,ＰＢ: -,PB: -,BZ: -,PB: -,PB: -,PB: -,PB: -,最佳成绩：-
SETTINGS_LANGUAGE,,Language,Langue,Język,Языk,Idioma,Lingua,ＬＡＮＧＵＡＧＥ,Lenggwahe,Sprache,Dİl,Bahasa,Linguagem,げんご,语言
SETTINGS_VIDEO,,Video,Vidéo,Wideo,bидeo,Vídeo,Video,ＶＩＤＥＯ,Vidyo,Video,Vİdeo,Video,Video,えいぞう,视频
SETTINGS_AUDIO,,Audio,Audio,Dźwięk,aУдиo,Audio,Audio,ＡＵＤＩＯ,Awdiyo,Audio,Ses,Suara,Audio,オーディオ,音频
SETTINGS_VISUALS,,Visuals,Visuels,Obraz,bизУaл,Visuales,Grafica,ＶＩＳＵＡＬＳ,Grapika,Grafik,Grafİkler,Visuals,Gráficos,グラフィック,视觉
SETTINGS_DIFFICULTY,,Difficulty,Difficulté,Trudność,cлoжhoctь,Dificultad,Difficoltà,ＤＩＦＦＩＣＵＬＴＹ,Antas ng difficulty,Schwierigkeitsgrad,Zorluk,Kesulitan,Dificuldade,なんいど,难度
SETTINGS_KEYBOARD,,Keyboard,Clavier,Klawiatura,kлabиatУpa,Teclado,Tastiera,ＫＥＹＢＯＡＲＤ,Keyboard,Tastatur,Klavye,Keyboard,Teclado,キーボード,键盘
SETTINGS_CONTROLLER,,Controller,Manette,Kontroler,kohtpoллep,Controles,Controller,ＣＯＮＴＲＯＬＬＥＲ,Controller,Controller,Kumanda,Kontrol,Controle,コントローラー,手柄
SETTINGS_DATA,,Data,Données,,,Datos,Dati,,,Daten,Verİler,Data,Dados,データ,数据
SETTINGS_RESOURCE_PACK,,Resource Packs,Packs de Ressources,Paczki Zasobów,tekctУp-пakи,Paquetes de recursos,Pacchetti di risorse,ＲＥＳＯＵＲＣＥ ＰＡＣＫＳ,Resource Packs,Ressourcenpakete,Kaynak Paketlerİ,Paket Resource,Pacotes de Recurso,リソースパック,资源包
SETTING_ON,"might change to just be true or false, instead. idk",On,On,Wł.,bkл.,Activado,On,ＯＮ,On,An,Açık,Aktif,Ligado,オン,开
